camera_id,direction,camera_name,image_id,long,lat,elevation,geometry.type,geometry.coordinates,x_resolution,y_resolution,center_lat,center_long,properties.description.url
hpwren30_south,south,Upper Talega,marconi-s-mobo-c,-117.480907,33.51912725,2300.0,Point,"[-117.481, 33.5191, 2300]",3072.0,2048.0,33.51453296,-117.480751,http://hpwren.ucsd.edu/cameras/UpperTalega.html
hpwren30_west,west,Upper Talega,marconi-w-mobo-c,-117.480907,33.51912725,2300.0,Point,"[-117.481, 33.5191, 2300]",3072.0,2048.0,33.51797356,-117.5290868,http://hpwren.ucsd.edu/cameras/UpperTalega.html
hpwren_missing1_north,north,Buffalo Bump,buff-n-mobo-c,-117.3825282,33.42835888,2896.0,,,3072.0,2048.0,33.43206175,-117.3825107,
hpwren_missing1_east,east,Buffalo Bump,buff-e-mobo-c,-117.3825282,33.42835888,2896.0,,,3072.0,2048.0,33.42844559,-117.3761462,
hpwren_missing1_south,south,Buffalo Bump,buff-s-mobo-c,-117.3825282,33.42835888,2896.0,,,3072.0,2048.0,33.40937278,-117.3805376,
hpwren_missing1_west,west,Buffalo Bump,buff-w-mobo-c,-117.3825282,33.42835888,2896.0,,,3072.0,2048.0,33.42998463,-117.414433,
hpwren_missing2_north,north,Coronado Hills,ch-n-mobo-c,-117.1529606,33.11062723,1600.0,,,3072.0,2048.0,33.11705716,-117.1530402,
hpwren_missing2_east,east,Coronado Hills,ch-e-mobo-c,-117.1529606,33.11062723,1600.0,,,3072.0,2048.0,33.11049901,-117.1304912,
hpwren_missing2_south,south,Coronado Hills,ch-s-mobo-c,-117.1529606,33.11062723,1600.0,,,3072.0,2048.0,33.06667096,-117.1531234,
hpwren_missing2_west,west,Coronado Hills,ch-w-mobo-c,-117.1529606,33.11062723,1600.0,,,3072.0,2048.0,33.11058033,-117.1789994,
hpwren18_north,north,Mt. Wilson Observatory,wilson-n-mobo-c.html,-118.0586478,34.22449951,5620.0,,,3072.0,2048.0,34.22632707,-118.0587202,
hpwren18_east,east,Mt. Wilson Observatory,wilson-e-mobo-c.html,-118.0586478,34.22449951,5620.0,,,3072.0,2048.0,34.22459585,-118.0564518,
hpwren18_south,south,Mt. Wilson Observatory,wilson-s-mobo-c.html,-118.0586478,34.22449951,5620.0,,,3072.0,2048.0,34.22338887,-118.0588145,
hpwren18_west,west,Mt. Wilson Observatory,wilson-w-mobo-c.html,-118.0586478,34.22449951,5620.0,,,3072.0,2048.0,34.22465731,-118.0648176,
hpwren_missing3_north,north,Rincon Del Diablo,rdd-n-mobo-c,-117.1210542,33.09383414,925.0,,,3072.0,2048.0,33.12258198,-117.1211227,
hpwren_missing3_east,east,Rincon Del Diablo,rdd-e-mobo-c,-117.1210542,33.09383414,925.0,,,3072.0,2048.0,33.04397844,-117.1205586,
hpwren_missing3_south,south,Rincon Del Diablo,rdd-s-mobo-c,-117.1210542,33.09383414,925.0,,,3072.0,2048.0,33.09371602,-117.118194,
hpwren_missing3_west,west,Rincon Del Diablo,rdd-w-mobo-c,-117.1210542,33.09383414,925.0,,,3072.0,2048.0,33.09380149,-117.1217033,
hpwren_missing4_north,north,Santa Ynez Peak,syp-n-mobo-c,-119.9789239,34.52711299,4297.0,,,3072.0,2048.0,34.60066741,-119.9422602,
